ts,image_path,vehicle_type,vehicle_id,tire_model_code,tire_position,tire_type,tread_design,operator,session_notes,brightness,glare_ratio,sharpness,edge_density,continuity,score,verdict,tread_verdict,quality_verdict,device_depth_mm,raw_score_verdict,psi_measured,psi_recommended,psi_status,mm_per_px,notes
20260327_083138,/home/charess/tireguard/data/captures/tire_20260327_083138.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,154.5951219512195,0.0475609756097561,1924.0140972635334,0.7012195121951219,1150.0,0.3221564271182727,GOOD,GOOD,OK,4.14980453609515,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.150; raw_score_verdict=GOOD
20260327_083050,/home/charess/tireguard/data/captures/tire_20260327_083050.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,139.1285686728395,0.020849408436213992,660.1468080838699,0.4298161008230453,3342.25,0.2741519740446305,GOOD,GOOD,OK,4.031607375332839,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.032; raw_score_verdict=GOOD
20260327_082842,/home/charess/tireguard/data/captures/tire_20260327_082842.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,154.96850887345678,0.025414737654320986,527.9470894249931,0.5059638631687243,31475.0,0.31045807254556645,GOOD,GOOD,OK,4.12100070212659,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.121; raw_score_verdict=GOOD
20260327_082725,/home/charess/tireguard/data/captures/tire_20260327_082725.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,108.49474344135803,0.005883487654320988,211.38508338012807,0.22960069444444445,1356.9,0.19444232187604588,GOOD,GOOD,OK,3.835345279455507,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.835; raw_score_verdict=GOOD
20260327_082714,/home/charess/tireguard/data/captures/tire_20260327_082714.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,125.9154771090535,0.00493505658436214,177.79198749660264,0.25972543724279834,1575.6,0.18136108571133014,GOOD,GOOD,OK,3.803136497250266,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.803; raw_score_verdict=GOOD
20260327_082701,/home/charess/tireguard/data/captures/tire_20260327_082701.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,157.3966210133745,0.059092078189300415,218.24417746972082,0.3691968878600823,4593.4,0.3111791316789225,GOOD,GOOD,OK,4.122776102883135,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=4.123; raw_score_verdict=GOOD
20260327_082658,/home/charess/tireguard/data/captures/tire_20260327_082658.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,159.5359804130296,0.029291746504861257,159.2689387990199,0.31277056277056275,1734.4,0.21421466802762631,GOOD,GOOD,OK,3.8840289958003478,GOOD,25.0,32.0,CRITICAL LOW,,quality_verdict=OK | depth_mm=3.884; raw_score_verdict=GOOD
20260327_082403,/home/charess/tireguard/data/captures/tire_20260327_082403.jpg,Car,redemo,,SPARE,,Symmetrical,rwdemo,,189.17528919168262,0.3043254559648002,265.28773612807544,0.23875168547299694,1273.2,0.22452755830217375,GOOD,GOOD,WARNING,3.9094215223610562,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.304) | quality_verdict=WARNING | depth_mm=3.909; raw_score_verdict=GOOD
20260327_082401,/home/charess/tireguard/data/captures/tire_20260327_082401.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,180.66068767298276,0.23992264566035057,270.09325100624744,0.26534667518274074,1385.6,0.27333310274671013,GOOD,GOOD,WARNING,4.029591140249493,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.240) | quality_verdict=WARNING | depth_mm=4.030; raw_score_verdict=GOOD
20260327_082400,/home/charess/tireguard/data/captures/tire_20260327_082400.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,185.3722234050103,0.270474061457668,313.5195546672231,0.2766304733517848,1517.6,0.2540148305695889,GOOD,GOOD,WARNING,3.9820254504859527,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.270) | quality_verdict=WARNING | depth_mm=3.982; raw_score_verdict=GOOD
20260327_082353,/home/charess/tireguard/data/captures/tire_20260327_082353.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,173.39830388191044,0.13414590873607268,294.272282271695,0.3033319139876517,1709.3,0.2645838937101379,GOOD,GOOD,WARNING,4.008048729060007,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.134) | quality_verdict=WARNING | depth_mm=4.008; raw_score_verdict=GOOD
20260327_082352,/home/charess/tireguard/data/captures/tire_20260327_082352.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,168.70954864807325,0.11730892058760911,357.94664066651967,0.3635476545312611,2043.3,0.2890753151269427,GOOD,GOOD,WARNING,4.068351811152385,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.117) | quality_verdict=WARNING | depth_mm=4.068; raw_score_verdict=GOOD
20260327_082351,/home/charess/tireguard/data/captures/tire_20260327_082351.jpg,Car,redemo,,SPARE,,Asymmetrical,rwdemo,,166.6657440919736,0.10732027535306224,355.00648699700423,0.34209779291746506,1927.5,0.282593652348744,GOOD,GOOD,WARNING,4.052392580532122,GOOD,25.0,32.0,CRITICAL LOW,,Too much glare (glare_ratio=0.107) | quality_verdict=WARNING | depth_mm=4.052; raw_score_verdict=GOOD
